Review,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_stemming,text_final
mantab,mantab,mantab,mantab,['mantab'],['mantab'],['mantab'],mantab
aplikasinya shopy sangat membantu walaupun agak lama pengiriman yaa🙏,aplikasinya shopy sangat membantu walaupun agak lama pengiriman yaa,aplikasinya shopy sangat membantu walaupun agak lama pengiriman yaa,aplikasinya shopy sangat membantu walaupun agak lama pengiriman yaa,"['aplikasinya', 'shopy', 'sangat', 'membantu', 'walaupun', 'agak', 'lama', 'pengiriman', 'yaa']","['aplikasinya', 'shopy', 'membantu', 'pengiriman', 'yaa']","['aplikasi', 'shopy', 'bantu', 'kirim', 'yaa']",aplikasi shopy bantu kirim yaa
puas belanja di shopee 👍👍,puas belanja di shopee,puas belanja di shopee,puas belanja di shopee,"['puas', 'belanja', 'di', 'shopee']","['puas', 'belanja', 'shopee']","['puas', 'belanja', 'shopee']",puas belanja shopee
ternyata masih ada iklan video pada saat buka aplikasi tolong perbaiki lagi.!!,ternyata masih ada iklan video pada saat buka aplikasi tolong perbaiki lagi,ternyata masih ada iklan video pada saat buka aplikasi tolong perbaiki lagi,ternyata masih ada iklan video pada saat buka aplikasi tolong perbaiki lagi,"['ternyata', 'masih', 'ada', 'iklan', 'video', 'pada', 'saat', 'buka', 'aplikasi', 'tolong', 'perbaiki', 'lagi']","['iklan', 'video', 'buka', 'aplikasi', 'tolong', 'perbaiki']","['iklan', 'video', 'buka', 'aplikasi', 'tolong', 'baik']",iklan video buka aplikasi tolong baik
"aplikasih nya emang buagusss banget, membantu buat orang belanja online makin mudah. tapi sayang nya dari pihak ekspedisi nya yg jadi permasalahan. mulai dari kurir kurang ramah, kurir yg tiba"" ngereturt barang, kurir yg semau mau nya jd agak kurang nyaman belanja online lagi huhu",aplikasih nya emang buagusss banget membantu buat orang belanja online makin mudah tapi sayang nya dari pihak ekspedisi nya yg jadi permasalahan mulai dari kurir kurang ramah kurir yg tiba ngereturt barang kurir yg semau mau nya jd agak kurang nyaman belanja online lagi huhu,aplikasih nya emang buagusss banget membantu buat orang belanja online makin mudah tapi sayang nya dari pihak ekspedisi nya yg jadi permasalahan mulai dari kurir kurang ramah kurir yg tiba ngereturt barang kurir yg semau mau nya jd agak kurang nyaman belanja online lagi huhu,aplikasih nya emang buagusss banget membantu buat orang belanja online makin mudah tapi sayang nya dari pihak ekspedisi nya yang jadi permasalahan mulai dari kurir kurang ramah kurir yang tiba ngereturt barang kurir yang semau mau nya jd agak kurang nyaman belanja online lagi huhu,"['aplikasih', 'nya', 'emang', 'buagusss', 'banget', 'membantu', 'buat', 'orang', 'belanja', 'online', 'makin', 'mudah', 'tapi', 'sayang', 'nya', 'dari', 'pihak', 'ekspedisi', 'nya', 'yang', 'jadi', 'permasalahan', 'mulai', 'dari', 'kurir', 'kurang', 'ramah', 'kurir', 'yang', 'tiba', 'ngereturt', 'barang', 'kurir', 'yang', 'semau', 'mau', 'nya', 'jd', 'agak', 'kurang', 'nyaman', 'belanja', 'online', 'lagi', 'huhu']","['aplikasih', 'emang', 'buagusss', 'membantu', 'orang', 'belanja', 'online', 'mudah', 'sayang', 'ekspedisi', 'permasalahan', 'kurir', 'ramah', 'kurir', 'ngereturt', 'barang', 'kurir', 'semau', 'jd', 'nyaman', 'belanja', 'online', 'huhu']","['aplikasih', 'emang', 'buagusss', 'bantu', 'orang', 'belanja', 'online', 'mudah', 'sayang', 'ekspedisi', 'masalah', 'kurir', 'ramah', 'kurir', 'ngereturt', 'barang', 'kurir', 'mau', 'jd', 'nyaman', 'belanja', 'online', 'huhu']",aplikasih emang buagusss bantu orang belanja online mudah sayang ekspedisi masalah kurir ramah kurir ngereturt barang kurir mau jd nyaman belanja online huhu
berguna bgt buat orang yang malas keluar rumah tinggal mesen aja di shopee,berguna bgt buat orang yang malas keluar rumah tinggal mesen aja di shopee,berguna bgt buat orang yang malas keluar rumah tinggal mesen aja di shopee,berguna banget buat orang yang malas keluar rumah tinggal mesen aja di shopee,"['berguna', 'banget', 'buat', 'orang', 'yang', 'malas', 'keluar', 'rumah', 'tinggal', 'mesen', 'aja', 'di', 'shopee']","['berguna', 'orang', 'malas', 'rumah', 'tinggal', 'mesen', 'aja', 'shopee']","['guna', 'orang', 'malas', 'rumah', 'tinggal', 'mesen', 'aja', 'shopee']",guna orang malas rumah tinggal mesen aja shopee
sangat baik,sangat baik,sangat baik,sangat baik,"['sangat', 'baik']",[],[],
bagus tapi barang yang aku pesan biasanya nggak sesuai ekspetasi dan membutuh kan kouta yang banyak kalo nggak gitu nggak bisa macet macet,bagus tapi barang yang aku pesan biasanya nggak sesuai ekspetasi dan membutuh kan kouta yang banyak kalo nggak gitu nggak bisa macet macet,bagus tapi barang yang aku pesan biasanya nggak sesuai ekspetasi dan membutuh kan kouta yang banyak kalo nggak gitu nggak bisa macet macet,bagus tapi barang yang aku pesan biasanya tidak sesuai ekspetasi dan membutuh kan kouta yang banyak kalo tidak gitu tidak bisa macet macet,"['bagus', 'tapi', 'barang', 'yang', 'aku', 'pesan', 'biasanya', 'tidak', 'sesuai', 'ekspetasi', 'dan', 'membutuh', 'kan', 'kouta', 'yang', 'banyak', 'kalo', 'tidak', 'gitu', 'tidak', 'bisa', 'macet', 'macet']","['bagus', 'barang', 'pesan', 'sesuai', 'ekspetasi', 'membutuh', 'kouta', 'kalo', 'gitu', 'macet', 'macet']","['bagus', 'barang', 'pesan', 'sesuai', 'ekspetasi', 'butuh', 'kouta', 'kalo', 'gitu', 'macet', 'macet']",bagus barang pesan sesuai ekspetasi butuh kouta kalo gitu macet macet
"mempermudah belanja. berharap ada produk yang lebih berkualitas, bukan cuma murah",mempermudah belanja berharap ada produk yang lebih berkualitas bukan cuma murah,mempermudah belanja berharap ada produk yang lebih berkualitas bukan cuma murah,mempermudah belanja berharap ada produk yang lebih berkualitas bukan cuma murah,"['mempermudah', 'belanja', 'berharap', 'ada', 'produk', 'yang', 'lebih', 'berkualitas', 'bukan', 'cuma', 'murah']","['mempermudah', 'belanja', 'berharap', 'produk', 'berkualitas', 'murah']","['mudah', 'belanja', 'harap', 'produk', 'kualitas', 'murah']",mudah belanja harap produk kualitas murah
memudahkan saat berbelanja mantapp dahh,memudahkan saat berbelanja mantapp dahh,memudahkan saat berbelanja mantapp dahh,memudahkan saat berbelanja mantapp dahh,"['memudahkan', 'saat', 'berbelanja', 'mantapp', 'dahh']","['memudahkan', 'berbelanja', 'mantapp', 'dahh']","['mudah', 'belanja', 'mantapp', 'dahh']",mudah belanja mantapp dahh
layanan memuaskan,layanan memuaskan,layanan memuaskan,layanan memuaskan,"['layanan', 'memuaskan']","['layanan', 'memuaskan']","['layan', 'muas']",layan muas
shoppe Indonesia mempermudah cara belanja. gk ribet.,shoppe Indonesia mempermudah cara belanja gk ribet,shoppe indonesia mempermudah cara belanja gk ribet,shoppe indonesia mempermudah cara belanja tidak ribet,"['shoppe', 'indonesia', 'mempermudah', 'cara', 'belanja', 'tidak', 'ribet']","['shoppe', 'indonesia', 'mempermudah', 'belanja', 'ribet']","['shoppe', 'indonesia', 'mudah', 'belanja', 'ribet']",shoppe indonesia mudah belanja ribet
"shoppy pengiriman nya cepat , barangnya juga bagus bagus",shoppy pengiriman nya cepat barangnya juga bagus bagus,shoppy pengiriman nya cepat barangnya juga bagus bagus,shoppy pengiriman nya cepat barangnya juga bagus bagus,"['shoppy', 'pengiriman', 'nya', 'cepat', 'barangnya', 'juga', 'bagus', 'bagus']","['shoppy', 'pengiriman', 'cepat', 'barangnya', 'bagus', 'bagus']","['shoppy', 'kirim', 'cepat', 'barang', 'bagus', 'bagus']",shoppy kirim cepat barang bagus bagus
"Kebijakan terbaru yg akan di kenakan biaya Rp.1250/pesanan di kaji ulang, ini sangat memberatkan untuk seller yang menjual produk dibawah Rp.2000,- Kebijakan yg seperti itu sudah pernah di terapkan di aplikasi Tiktok tetapi tidak efektif dan dicabut kembali. Mohon dikaji ulang untuk kebijakan tersebut salaam..",Kebijakan terbaru yg akan di kenakan biaya Rp pesanan di kaji ulang ini sangat memberatkan untuk seller yang menjual produk dibawah Rp Kebijakan yg seperti itu sudah pernah di terapkan di aplikasi Tiktok tetapi tidak efektif dan dicabut kembali Mohon dikaji ulang untuk kebijakan tersebut salaam,kebijakan terbaru yg akan di kenakan biaya rp pesanan di kaji ulang ini sangat memberatkan untuk seller yang menjual produk dibawah rp kebijakan yg seperti itu sudah pernah di terapkan di aplikasi tiktok tetapi tidak efektif dan dicabut kembali mohon dikaji ulang untuk kebijakan tersebut salaam,kebijakan terbaru yang akan di kenakan biaya rp pesanan di kaji ulang ini sangat memberatkan untuk seller yang menjual produk dibawah rp kebijakan yang seperti itu sudah pernah di terapkan di aplikasi tiktok tetapi tidak efektif dan dicabut kembali mohon dikaji ulang untuk kebijakan tersebut salaam,"['kebijakan', 'terbaru', 'yang', 'akan', 'di', 'kenakan', 'biaya', 'rp', 'pesanan', 'di', 'kaji', 'ulang', 'ini', 'sangat', 'memberatkan', 'untuk', 'seller', 'yang', 'menjual', 'produk', 'dibawah', 'rp', 'kebijakan', 'yang', 'seperti', 'itu', 'sudah', 'pernah', 'di', 'terapkan', 'di', 'aplikasi', 'tiktok', 'tetapi', 'tidak', 'efektif', 'dan', 'dicabut', 'kembali', 'mohon', 'dikaji', 'ulang', 'untuk', 'kebijakan', 'tersebut', 'salaam']","['kebijakan', 'terbaru', 'kenakan', 'biaya', 'rp', 'pesanan', 'kaji', 'ulang', 'memberatkan', 'seller', 'menjual', 'produk', 'dibawah', 'rp', 'kebijakan', 'terapkan', 'aplikasi', 'tiktok', 'efektif', 'dicabut', 'mohon', 'dikaji', 'ulang', 'kebijakan', 'salaam']","['bijak', 'baru', 'kena', 'biaya', 'rp', 'pesan', 'kaji', 'ulang', 'berat', 'seller', 'jual', 'produk', 'bawah', 'rp', 'bijak', 'terap', 'aplikasi', 'tiktok', 'efektif', 'cabut', 'mohon', 'kaji', 'ulang', 'bijak', 'salaam']",bijak baru kena biaya rp pesan kaji ulang berat seller jual produk bawah rp bijak terap aplikasi tiktok efektif cabut mohon kaji ulang bijak salaam
aku suka,aku suka,aku suka,aku suka,"['aku', 'suka']",['suka'],['suka'],suka
"rekomendit ,deh",rekomendit deh,rekomendit deh,rekomendit deh,"['rekomendit', 'deh']",['rekomendit'],['rekomendit'],rekomendit
bagus aplikasinya,bagus aplikasinya,bagus aplikasinya,bagus aplikasinya,"['bagus', 'aplikasinya']","['bagus', 'aplikasinya']","['bagus', 'aplikasi']",bagus aplikasi
baguspoll,baguspoll,baguspoll,baguspoll,['baguspoll'],['baguspoll'],['baguspoll'],baguspoll
mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
aman,aman,aman,aman,['aman'],['aman'],['aman'],aman
sangat memudahkan saat berbelanja dengan berbagi fitur lainnya.. produk yng terjual sangat terjangkau pengiriman yang tepat waktu terimakasih SHOPEE😘,sangat memudahkan saat berbelanja dengan berbagi fitur lainnya produk yng terjual sangat terjangkau pengiriman yang tepat waktu terimakasih SHOPEE,sangat memudahkan saat berbelanja dengan berbagi fitur lainnya produk yng terjual sangat terjangkau pengiriman yang tepat waktu terimakasih shopee,sangat memudahkan saat berbelanja dengan berbagi fitur lainnya produk yng terjual sangat terjangkau pengiriman yang tepat waktu terimakasih shopee,"['sangat', 'memudahkan', 'saat', 'berbelanja', 'dengan', 'berbagi', 'fitur', 'lainnya', 'produk', 'yng', 'terjual', 'sangat', 'terjangkau', 'pengiriman', 'yang', 'tepat', 'waktu', 'terimakasih', 'shopee']","['memudahkan', 'berbelanja', 'berbagi', 'fitur', 'produk', 'yng', 'terjual', 'terjangkau', 'pengiriman', 'terimakasih', 'shopee']","['mudah', 'belanja', 'bagi', 'fitur', 'produk', 'yng', 'jual', 'jangkau', 'kirim', 'terimakasih', 'shopee']",mudah belanja bagi fitur produk yng jual jangkau kirim terimakasih shopee
sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],['bantu'],bantu
"tambahkan tim yang lebih baik, agar shopee terus menjadi yang terbaik",tambahkan tim yang lebih baik agar shopee terus menjadi yang terbaik,tambahkan tim yang lebih baik agar shopee terus menjadi yang terbaik,tambahkan tim yang lebih baik agar shopee terus menjadi yang terbaik,"['tambahkan', 'tim', 'yang', 'lebih', 'baik', 'agar', 'shopee', 'terus', 'menjadi', 'yang', 'terbaik']","['tambahkan', 'tim', 'shopee', 'terbaik']","['tambah', 'tim', 'shopee', 'baik']",tambah tim shopee baik
kenapa ya shopy splater nya buat ngirim no rek salah terus mau tf salah terus no rek nya,kenapa ya shopy splater nya buat ngirim no rek salah terus mau tf salah terus no rek nya,kenapa ya shopy splater nya buat ngirim no rek salah terus mau tf salah terus no rek nya,kenapa ya shopy splater nya buat ngirim no rek salah terus mau tf salah terus no rek nya,"['kenapa', 'ya', 'shopy', 'splater', 'nya', 'buat', 'ngirim', 'no', 'rek', 'salah', 'terus', 'mau', 'tf', 'salah', 'terus', 'no', 'rek', 'nya']","['shopy', 'splater', 'ngirim', 'rek', 'salah', 'tf', 'salah', 'rek']","['shopy', 'splater', 'ngirim', 'rek', 'salah', 'tf', 'salah', 'rek']",shopy splater ngirim rek salah tf salah rek
baiki,baiki,baiki,baiki,['baiki'],['baiki'],['baik'],baik
"kek mana nya ni min, masak saya sudah bener ngisi alamat tujuan ke dumai ehh tiba tiba pas di pesan malah ke Pekanbaru, padahal sebelum sebelum nya mesan gak kek gitu,tapi pas mesan lagi tiba tiba kek gitu kan aneh, sekarang lagi bingung ni kasian sama kurirnya nantik",kek mana nya ni min masak saya sudah bener ngisi alamat tujuan ke dumai ehh tiba tiba pas di pesan malah ke Pekanbaru padahal sebelum sebelum nya mesan gak kek gitu tapi pas mesan lagi tiba tiba kek gitu kan aneh sekarang lagi bingung ni kasian sama kurirnya nantik,kek mana nya ni min masak saya sudah bener ngisi alamat tujuan ke dumai ehh tiba tiba pas di pesan malah ke pekanbaru padahal sebelum sebelum nya mesan gak kek gitu tapi pas mesan lagi tiba tiba kek gitu kan aneh sekarang lagi bingung ni kasian sama kurirnya nantik,kek mana nya ni min masak saya sudah bener ngisi alamat tujuan ke dumai ehh tiba tiba pas di pesan malah ke pekanbaru padahal sebelum sebelum nya mesan tidak kek gitu tapi pas mesan lagi tiba tiba kek gitu kan aneh sekarang lagi bingung ni kasian sama kurirnya nantik,"['kek', 'mana', 'nya', 'ni', 'min', 'masak', 'saya', 'sudah', 'bener', 'ngisi', 'alamat', 'tujuan', 'ke', 'dumai', 'ehh', 'tiba', 'tiba', 'pas', 'di', 'pesan', 'malah', 'ke', 'pekanbaru', 'padahal', 'sebelum', 'sebelum', 'nya', 'mesan', 'tidak', 'kek', 'gitu', 'tapi', 'pas', 'mesan', 'lagi', 'tiba', 'tiba', 'kek', 'gitu', 'kan', 'aneh', 'sekarang', 'lagi', 'bingung', 'ni', 'kasian', 'sama', 'kurirnya', 'nantik']","['kek', 'ni', 'min', 'masak', 'bener', 'ngisi', 'alamat', 'tujuan', 'dumai', 'ehh', 'pas', 'pesan', 'pekanbaru', 'mesan', 'kek', 'gitu', 'pas', 'mesan', 'kek', 'gitu', 'aneh', 'bingung', 'ni', 'kasian', 'kurirnya', 'nantik']","['kek', 'ni', 'min', 'masak', 'bener', 'ngisi', 'alamat', 'tuju', 'dumai', 'ehh', 'pas', 'pesan', 'pekanbaru', 'mesan', 'kek', 'gitu', 'pas', 'mesan', 'kek', 'gitu', 'aneh', 'bingung', 'ni', 'kasi', 'kurir', 'nantik']",kek ni min masak bener ngisi alamat tuju dumai ehh pas pesan pekanbaru mesan kek gitu pas mesan kek gitu aneh bingung ni kasi kurir nantik
"KENAPA DI SHOPE SEKARANG TIDAK BISA KITA KEMBALIKAN BARANG DENGAN CARA PILIH METODE ATUR MANDIRI,,,DAN DI SAAT KITA LOGIN KE SHOPEE SELALU ADA PEMERIKSAAN KEAMANAN YANG HARUS KITA LAKUKAN RIBET KALI SUDAH SHOPEE INI SUDAH BANYAK KALI ATURAN DAN PERUBAHAN JADI KONSUMEN KECEWA SHOPEE MACAM APA INI",KENAPA DI SHOPE SEKARANG TIDAK BISA KITA KEMBALIKAN BARANG DENGAN CARA PILIH METODE ATUR MANDIRI DAN DI SAAT KITA LOGIN KE SHOPEE SELALU ADA PEMERIKSAAN KEAMANAN YANG HARUS KITA LAKUKAN RIBET KALI SUDAH SHOPEE INI SUDAH BANYAK KALI ATURAN DAN PERUBAHAN JADI KONSUMEN KECEWA SHOPEE MACAM APA INI,kenapa di shope sekarang tidak bisa kita kembalikan barang dengan cara pilih metode atur mandiri dan di saat kita login ke shopee selalu ada pemeriksaan keamanan yang harus kita lakukan ribet kali sudah shopee ini sudah banyak kali aturan dan perubahan jadi konsumen kecewa shopee macam apa ini,kenapa di shope sekarang tidak bisa kita kembalikan barang dengan cara pilih metode atur mandiri dan di saat kita login ke shopee selalu ada pemeriksaan keamanan yang harus kita lakukan ribet kali sudah shopee ini sudah banyak kali aturan dan perubahan jadi konsumen kecewa shopee macam apa ini,"['kenapa', 'di', 'shope', 'sekarang', 'tidak', 'bisa', 'kita', 'kembalikan', 'barang', 'dengan', 'cara', 'pilih', 'metode', 'atur', 'mandiri', 'dan', 'di', 'saat', 'kita', 'login', 'ke', 'shopee', 'selalu', 'ada', 'pemeriksaan', 'keamanan', 'yang', 'harus', 'kita', 'lakukan', 'ribet', 'kali', 'sudah', 'shopee', 'ini', 'sudah', 'banyak', 'kali', 'aturan', 'dan', 'perubahan', 'jadi', 'konsumen', 'kecewa', 'shopee', 'macam', 'apa', 'ini']","['shope', 'kembalikan', 'barang', 'pilih', 'metode', 'atur', 'mandiri', 'login', 'shopee', 'pemeriksaan', 'keamanan', 'lakukan', 'ribet', 'kali', 'shopee', 'kali', 'aturan', 'perubahan', 'konsumen', 'kecewa', 'shopee']","['shope', 'kembali', 'barang', 'pilih', 'metode', 'atur', 'mandiri', 'login', 'shopee', 'periksa', 'aman', 'laku', 'ribet', 'kali', 'shopee', 'kali', 'atur', 'ubah', 'konsumen', 'kecewa', 'shopee']",shope kembali barang pilih metode atur mandiri login shopee periksa aman laku ribet kali shopee kali atur ubah konsumen kecewa shopee
praktis,praktis,praktis,praktis,['praktis'],['praktis'],['praktis'],praktis
sangat memuaskan,sangat memuaskan,sangat memuaskan,sangat memuaskan,"['sangat', 'memuaskan']",['memuaskan'],['muas'],muas
baguss,baguss,baguss,baguss,['baguss'],['baguss'],['baguss'],baguss
"beginilah di Indonesia...katanya membantu usaha keci UMKM,BOHONG besar NOL besar kentut..semua itu !!! alih alih disanalah saatnya menggrogoti penjual dan pembeli..harus ada ni saingan nih yang sehat yang harus apa apa duit duit duit keluar biar sadar..suka iri",beginilah di Indonesia katanya membantu usaha keci UMKM BOHONG besar NOL besar kentut semua itu alih alih disanalah saatnya menggrogoti penjual dan pembeli harus ada ni saingan nih yang sehat yang harus apa apa duit duit duit keluar biar sadar suka iri,beginilah di indonesia katanya membantu usaha keci umkm bohong besar nol besar kentut semua itu alih alih disanalah saatnya menggrogoti penjual dan pembeli harus ada ni saingan nih yang sehat yang harus apa apa duit duit duit keluar biar sadar suka iri,beginilah di indonesia katanya membantu usaha keci umkm bohong besar nol besar kentut semua itu alih alih disanalah saatnya menggrogoti penjual dan pembeli harus ada ni saingan nih yang sehat yang harus apa apa duit duit duit keluar biar sadar suka iri,"['beginilah', 'di', 'indonesia', 'katanya', 'membantu', 'usaha', 'keci', 'umkm', 'bohong', 'besar', 'nol', 'besar', 'kentut', 'semua', 'itu', 'alih', 'alih', 'disanalah', 'saatnya', 'menggrogoti', 'penjual', 'dan', 'pembeli', 'harus', 'ada', 'ni', 'saingan', 'nih', 'yang', 'sehat', 'yang', 'harus', 'apa', 'apa', 'duit', 'duit', 'duit', 'keluar', 'biar', 'sadar', 'suka', 'iri']","['indonesia', 'membantu', 'usaha', 'keci', 'umkm', 'bohong', 'nol', 'kentut', 'alih', 'alih', 'disanalah', 'menggrogoti', 'penjual', 'pembeli', 'ni', 'saingan', 'sehat', 'duit', 'duit', 'duit', 'biar', 'sadar', 'suka', 'iri']","['indonesia', 'bantu', 'usaha', 'keci', 'umkm', 'bohong', 'nol', 'kentut', 'alih', 'alih', 'sana', 'menggrogoti', 'jual', 'beli', 'ni', 'saing', 'sehat', 'duit', 'duit', 'duit', 'biar', 'sadar', 'suka', 'iri']",indonesia bantu usaha keci umkm bohong nol kentut alih alih sana menggrogoti jual beli ni saing sehat duit duit duit biar sadar suka iri
bilangnya bisa d cicil eh stelah d cicil minta di lunasin eh lakok memeras penagihnya,bilangnya bisa d cicil eh stelah d cicil minta di lunasin eh lakok memeras penagihnya,bilangnya bisa d cicil eh stelah d cicil minta di lunasin eh lakok memeras penagihnya,bilangnya bisa d cicil eh stelah d cicil minta di lunasin eh lakok memeras penagihnya,"['bilangnya', 'bisa', 'd', 'cicil', 'eh', 'stelah', 'd', 'cicil', 'minta', 'di', 'lunasin', 'eh', 'lakok', 'memeras', 'penagihnya']","['bilangnya', 'cicil', 'eh', 'stelah', 'cicil', 'lunasin', 'eh', 'lakok', 'memeras', 'penagihnya']","['bilang', 'cicil', 'eh', 'stelah', 'cicil', 'lunasin', 'eh', 'lakok', 'peras', 'tagih']",bilang cicil eh stelah cicil lunasin eh lakok peras tagih
barangnya sesuai pesanan,barangnya sesuai pesanan,barangnya sesuai pesanan,barangnya sesuai pesanan,"['barangnya', 'sesuai', 'pesanan']","['barangnya', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesan']",barang sesuai pesan
mantap 👍,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
shopee keren lah,shopee keren lah,shopee keren lah,shopee keren lah,"['shopee', 'keren', 'lah']","['shopee', 'keren']","['shopee', 'keren']",shopee keren
ok,ok,ok,ok,['ok'],['ok'],['ok'],ok
Smoga slalu menjadi yg Terbaik 👍🏻,Smoga slalu menjadi yg Terbaik,smoga slalu menjadi yg terbaik,smoga slalu menjadi yang terbaik,"['smoga', 'slalu', 'menjadi', 'yang', 'terbaik']","['smoga', 'slalu', 'terbaik']","['smoga', 'slalu', 'baik']",smoga slalu baik
barang yg bagus sesuai dengan apa yg di minta,barang yg bagus sesuai dengan apa yg di minta,barang yg bagus sesuai dengan apa yg di minta,barang yang bagus sesuai dengan apa yang di minta,"['barang', 'yang', 'bagus', 'sesuai', 'dengan', 'apa', 'yang', 'di', 'minta']","['barang', 'bagus', 'sesuai']","['barang', 'bagus', 'sesuai']",barang bagus sesuai
bgus,bgus,bgus,bgus,['bgus'],['bgus'],['bgus'],bgus
"lebih percaya pesen barang di sopee,kurir nya pun ramah&baik.",lebih percaya pesen barang di sopee kurir nya pun ramah baik,lebih percaya pesen barang di sopee kurir nya pun ramah baik,lebih percaya pesen barang di sopee kurir nya pun ramah baik,"['lebih', 'percaya', 'pesen', 'barang', 'di', 'sopee', 'kurir', 'nya', 'pun', 'ramah', 'baik']","['percaya', 'pesen', 'barang', 'sopee', 'kurir', 'ramah']","['percaya', 'sen', 'barang', 'sopee', 'kurir', 'ramah']",percaya sen barang sopee kurir ramah
bintang 4 aja dulu,bintang aja dulu,bintang aja dulu,bintang aja dulu,"['bintang', 'aja', 'dulu']","['bintang', 'aja']","['bintang', 'aja']",bintang aja
sangat puas belanja di shopee,sangat puas belanja di shopee,sangat puas belanja di shopee,sangat puas belanja di shopee,"['sangat', 'puas', 'belanja', 'di', 'shopee']","['puas', 'belanja', 'shopee']","['puas', 'belanja', 'shopee']",puas belanja shopee
mantul wes,mantul wes,mantul wes,mantul wes,"['mantul', 'wes']","['mantul', 'wes']","['mantul', 'wes']",mantul wes
sudah cucok pakai shopee,sudah cucok pakai shopee,sudah cucok pakai shopee,sudah cucok pakai shopee,"['sudah', 'cucok', 'pakai', 'shopee']","['cucok', 'pakai', 'shopee']","['cucok', 'pakai', 'shopee']",cucok pakai shopee
nek cek tagihan shope pay dmn..,nek cek tagihan shope pay dmn,nek cek tagihan shope pay dmn,nek cek tagihan shope pay dmn,"['nek', 'cek', 'tagihan', 'shope', 'pay', 'dmn']","['nek', 'cek', 'tagihan', 'shope', 'pay', 'dmn']","['nek', 'cek', 'tagih', 'shope', 'pay', 'dmn']",nek cek tagih shope pay dmn
dengn berbelanja di shopee .gk menyita waktu banyak gk harus keluar rumh.jd pekerjaan tidak terganggu,dengn berbelanja di shopee gk menyita waktu banyak gk harus keluar rumh jd pekerjaan tidak terganggu,dengn berbelanja di shopee gk menyita waktu banyak gk harus keluar rumh jd pekerjaan tidak terganggu,dengn berbelanja di shopee tidak menyita waktu banyak tidak harus keluar rumh jd pekerjaan tidak terganggu,"['dengn', 'berbelanja', 'di', 'shopee', 'tidak', 'menyita', 'waktu', 'banyak', 'tidak', 'harus', 'keluar', 'rumh', 'jd', 'pekerjaan', 'tidak', 'terganggu']","['dengn', 'berbelanja', 'shopee', 'menyita', 'rumh', 'jd', 'pekerjaan', 'terganggu']","['dengn', 'belanja', 'shopee', 'sita', 'rumh', 'jd', 'kerja', 'ganggu']",dengn belanja shopee sita rumh jd kerja ganggu
aplikasi ini berguna banget untuk kitaa yang males keluar rumahhh👍👍👍,aplikasi ini berguna banget untuk kitaa yang males keluar rumahhh,aplikasi ini berguna banget untuk kitaa yang males keluar rumahhh,aplikasi ini berguna banget untuk kitaa yang males keluar rumahhh,"['aplikasi', 'ini', 'berguna', 'banget', 'untuk', 'kitaa', 'yang', 'males', 'keluar', 'rumahhh']","['aplikasi', 'berguna', 'kitaa', 'males', 'rumahhh']","['aplikasi', 'guna', 'kitaa', 'males', 'rumahhh']",aplikasi guna kitaa males rumahhh
